Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000048647,Exd1,0.010161164876776993,-0.3577622976753645,0.765331976787394,0.012384832668035166,0.3577622976753645,0.765331976787394
ENSMUSG00000014077,Chp1,2.9453522008730406,0.5561084768546145,0.05023008906780261,2.00386592568809,-0.5561084768546145,0.050230089067809035
ENSMUSG00000085438,1700020I14Rik,4.8016122754078925,0.5710478692083649,0.04372377698183748,3.233679809623982,-0.5710478692083649,0.04372377698184299
ENSMUSG00000072980,Oip5,0.01570361844592808,0.9000354597922824,0.2956870874590212,0.0074308996008211,-0.9000354597922824,0.2956870874590212
ENSMUSG00000027306,Nusap1,0.0055424535691510875,-1.9693804303975737,0.00578077146194478,0.0222926988024633,1.9693804303975737,0.00578077146194478
ENSMUSG00000027305,Ndufaf1,0.6221404131372096,0.40865810791568635,0.2158095552842555,0.4681466748517293,-0.40865810791568635,0.2158095552842555
ENSMUSG00000027304,Rtf1,1.9107608679648374,0.5253909340084071,0.07013342219529964,1.3276540620133699,-0.5253909340084071,0.07013342219529964
ENSMUSG00000027296,Itpka,4.515252174335086,1.733935691961447,1.1422354539812914e-10,1.3573776604166543,-1.733935691961447,1.1422354539812591e-10
ENSMUSG00000027297,Ltk,0.3417846367643171,1.7715870943261285,8.418207192169944e-09,0.09907866134428132,-1.7715870943261285,8.418207192169944e-09
ENSMUSG00000034032,Rpap1,0.32330979153381345,0.45394917087979403,0.18922528308412392,0.23531182069266815,-0.45394917087979403,0.1892252830841481
ENSMUSG00000027298,Tyro3,1.811920445981643,0.2730427076512074,0.42167453272911515,1.4998032360990585,-0.2730427076512074,0.42167453272920524
ENSMUSG00000033943,Mga,0.39628543019430273,0.030000937151756002,1.0,0.3876452625095007,-0.030000937151756002,1.0
ENSMUSG00000033902,Mapkbp1,0.3787343272253243,0.7357838206257115,0.018937448403901637,0.22664243782504354,-0.7357838206257115,0.018937448403901637
ENSMUSG00000098789,Jmjd7,0.08359867466802891,-0.4839536032273317,0.197293916177207,0.11641742707953057,0.4839536032273317,0.197293916177207
