Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000021466,Ptch1,0.4246390299762077,-1.3158588447942976,2.28110239784039e-09,1.1982594241578166,1.1962229114650795,1.5315181054153574e-07,0.7995405629011296,0.1312624691045457,0.7596945086256436
ENSMUSG00000113459,Gm30655,0.0027004071858582365,-1.2533058131551336,0.2908863318338892,0.00827098825993316,1.2210377854697256,0.3916666245403221,0.005724634101917396,0.5215149053492389,0.9304296327830939
ENSMUSG00000021470,Ercc6l2,0.17822687426664363,-0.3327402806495381,0.3146448020517326,0.2253844300831786,0.24847101559283713,0.6798157373924181,0.22326072997477844,0.1887182940163994,0.6889962341615496
ENSMUSG00000033114,Slc35d2,0.010801628743432946,-0.15073607951458534,0.9990209198895312,0.01033873532491645,-0.13331178711001535,1.0,0.015265690938446388,0.6369921227691746,0.6380052321153518
ENSMUSG00000044934,Zfp367,0.3557786467368227,0.44309791472976157,0.11016681174223036,0.23468929187560342,-0.5485391021961039,0.12047669132373535,0.3110384528708452,0.019173793895973512,1.0
ENSMUSG00000021476,Habp4,3.9662230542292853,0.1705977129126106,0.5984377323563667,4.372251168907167,0.3447559735992092,0.3300322353832885,1.9578248628557495,-1.0766066114585713,0.001023608354160133
ENSMUSG00000033102,Cdc14b,0.0877632335403927,-0.664207537864772,0.03038903047353716,0.14681004161381359,0.5889323013494261,0.11887313253946684,0.12594195024218272,0.1952866730282512,0.7443780092863161
ENSMUSG00000097101,1810034E14Rik,0.0013502035929291183,-1.4053089066001831,0.43061167987381355,0.001033873532491645,-1.1188122174149004,0.6986243833078856,0.011449268203834791,3.029309545547936,0.02430347265079299
ENSMUSG00000021482,Aaed1,0.22143338924037542,-0.20575646162184702,0.5759946545744297,0.23779091247307835,-0.004028770165048101,1.0,0.2881399164631756,0.3431776640907267,0.3853651470712908
ENSMUSG00000021477,Ctsl,2.749014515203685,-0.33629591117885216,0.19997936220614915,3.322869533428147,0.1425777506003385,0.8285094270697118,3.743910702653977,0.329689805599481,0.3592081407881591
ENSMUSG00000113696,1700015C15Rik,0.0,-0.9902714073213392,1.0,0.0,0.051112784027411706,1.0,0.0019082113673057986,3.2219546234903316,0.36604303800755333
ENSMUSG00000021483,Cdk20,0.22075828744391085,0.33385759575929397,0.30177376758197805,0.19850371823839583,0.010574624152535073,1.0,0.1316665843441001,-0.6711301725931564,0.12836876589393065
ENSMUSG00000113244,Gm31218,0.007426119761110151,1.5946910933998169,0.11869441370699507,0.00206774706498329,-1.064364433392524,0.6572312989874479,0.0019082113673057986,-0.585400298567273,0.7271281080040877
ENSMUSG00000096537,Fam240b,0.0020253053893936777,2.0097285926786608,0.2848406918934865,0.0,-0.9488872159725883,0.8750558332469047,0.0,0.22195462349033157,1.0
ENSMUSG00000113124,Gm47193,0.006075916168181032,2.3316566875660225,0.048364043447753094,0.001033873532491645,-1.27081531085995,0.54751299041596,0.0,-1.2374769951469666,0.4497318131072237
ENSMUSG00000033063,Cntnap3,0.11881791617776241,0.6959744292369985,0.03027855122476731,0.08891312379428147,-0.14979990989858338,0.9068688498505195,0.04388886144803337,-1.2320018650808153,0.012816656897474502
ENSMUSG00000038212,Mfsd14b,0.7851433892882823,0.004779376706926963,1.0,0.7361179551340512,-0.1320162198312652,0.8819888797895801,0.8682361721241384,0.1814005251396962,0.6437076693677242
ENSMUSG00000032999,Nlrp4f,0.0006751017964645591,-1.797626329378943,0.2914852055551334,0.005169367662458225,2.0511127840274117,0.21026510938234547,0.0019082113673057986,0.41459970143272606,1.0
ENSMUSG00000110393,Gm36445,0.0067510179646455915,0.29923520987364594,0.8310440293856052,0.007237114727441515,0.4661502833062565,0.9188200032509964,0.0019082113673057986,-0.9479703779519815,0.592471410345873
ENSMUSG00000074847,Gm10775,0.012826934132826625,-0.4756982344915812,0.5710725551943222,0.025846838312291124,1.292120883531208,0.041837652618437776,0.003816422734611597,-1.684935972118188,0.10896767496451795
ENSMUSG00000021514,Zfp369,0.3172978443383428,0.259955222211834,0.43110909330238434,0.25846838312291126,-0.2441302027167167,0.6870859899057957,0.2766906482593408,-0.08207626687047398,1.0
ENSMUSG00000112935,Gm40983,0.0,-0.9902714073213392,1.0,0.001033873532491645,2.0511127840274117,0.6870859899057957,0.0,1.2219546234903316,1.0
ENSMUSG00000021520,Uqcrb,7.964850994688869,-0.00668449721217268,1.0,9.033986926911995,0.27226758408105756,0.5061129715779875,6.096735318542026,-0.46193151444519165,0.2162960848704074
ENSMUSG00000074826,Gm10767,0.03983100599140899,0.5590671836690948,0.2560064186412768,0.03308395303973264,0.008044062135526886,1.0,0.015265690938446388,-1.1316823311243702,0.11695140893363719
ENSMUSG00000021519,Mterf3,0.32944967667470487,0.08855086437065807,0.8441870613617232,0.31533142740995174,-0.026889727973860245,1.0,0.2995891846670104,-0.1072598254755237,0.9548100576645597
ENSMUSG00000021518,Ptdss1,1.196280383335199,-0.14080909176189077,0.7006559463413432,1.4040002571236538,0.2414848269306899,0.6155495691636237,1.1621007226892315,-0.13778773719809018,0.8733350061307519
ENSMUSG00000114362,4933433G19Rik,0.0006751017964645591,-0.5752339080424953,1.0,0.00206774706498329,1.6360752847485678,0.6359228931840307,0.0,0.22195462349033157,1.0
ENSMUSG00000090641,Zfp712,0.08033711377928254,0.24419384631568342,0.6085386725296011,0.06926952667694021,-0.1282109154171489,0.9458718506198256,0.06487918648839715,-0.19565681945233893,0.8557403911612445
ENSMUSG00000114516,Gm46440,0.0006751017964645591,-0.5752339080424953,1.0,0.0,-0.9488872159725883,0.8750558332469047,0.003816422734611597,2.8069171242114876,0.22595149397015532
ENSMUSG00000100235,Gm28557,0.01687754491161398,0.12520581009859644,0.9366963110689326,0.015508102987374674,-0.03635005722292739,1.0,0.015265690938446388,0.03432762031455905,1.0
ENSMUSG00000074824,Rslcan18,0.0006751017964645591,0.009728592678660775,1.0,0.0,-0.5338497166937444,1.0,0.0019082113673057986,2.2219546234903316,0.5451271559872758
ENSMUSG00000057396,Zfp759,0.10936649102725858,0.6719562197265194,0.04017134136274971,0.07030340020943186,-0.4624145786507943,0.3968967084012383,0.06487918648839715,-0.5005114009807596,0.3702855483787496
ENSMUSG00000058900,Rsl1,0.05670855090302297,0.13371730995411468,0.8417735330816016,0.05169367662458225,-0.08381679605869596,1.0,0.05152170691725656,-0.04750605150289555,1.0
ENSMUSG00000051037,Zfp455,0.03443019161969252,0.1555794591421149,0.841225617613402,0.02688071184478277,-0.36392471525143133,0.725574493833811,0.03816422734611597,0.32886982740684356,0.7254265588205108
ENSMUSG00000114771,Gm49064,0.010801628743432946,-0.07273356751331228,1.0,0.013440355922391385,0.4661502833062565,0.843928194964942,0.007632845469223194,-0.3630078772308254,0.8665729506777724
ENSMUSG00000055480,Zfp458,0.04860732934544826,-0.10422759661842562,0.9040619084999525,0.04652430896212403,-0.153245714478774,0.9515046173903684,0.06297097512109136,0.42677441537882954,0.5024828521899147
ENSMUSG00000114442,F630042J09Rik,0.004725712575251915,0.687800497791299,0.6247107427304371,0.003101620597474935,-0.11881221741490045,1.0,0.0019082113673057986,-0.23747699514696663,0.9025096869563491
ENSMUSG00000055341,Zfp457,0.010126526946968388,0.687800497791299,0.48373599853159316,0.005169367662458225,-0.685852810138794,0.6870859899057957,0.007632845469223194,0.1515652955989335,1.0
ENSMUSG00000114863,Gm48824,0.0013502035929291183,1.5946910933998169,0.4588679293803623,0.0,-0.5338497166937444,1.0,0.0,0.6369921227691755,1.0
ENSMUSG00000057842,Zfp595,0.04388161677019635,0.1714796626752726,0.7973162328867385,0.034117826572224286,-0.3692190149209438,0.6870859899057957,0.04770528418264497,0.29303772155181385,0.7262548850549639
ENSMUSG00000098781,Gm28044,0.0006751017964645591,1.0097285926786608,0.7006559463413432,0.0,0.051112784027411706,1.0,0.0,1.2219546234903316,1.0
ENSMUSG00000098905,Zfp953,0.010126526946968388,-0.5138333633783523,0.6189692542725137,0.007237114727441515,-0.9030835263594632,0.5082804609233313,0.02862317050958698,1.6983926674333176,0.031952227458446655
ENSMUSG00000098692,Gm28041,0.0027004071858582365,0.3316566875660225,0.8856100708973278,0.00206774706498329,0.051112784027411706,1.0,0.0019082113673057986,0.41459970143272606,1.0
ENSMUSG00000092103,Gm17039,0.0013502035929291183,-0.40530890660018315,1.0,0.003101620597474935,1.4661502833062556,0.706236300111176,0.0,-0.3630078772308245,0.8132296020613344
ENSMUSG00000078995,Zfp456,0.013502035929291183,0.009728592678660775,1.0,0.01654197651986632,0.4947194355030273,0.7255840460882748,0.007632845469223194,-0.6655706472512559,0.5745928636729565
ENSMUSG00000078994,Zfp429,0.03510529341615708,-0.017238454921608692,1.0,0.03308395303973264,-0.11394646224308325,1.0,0.040072438713421775,0.2719953059899263,0.7476084995665174
ENSMUSG00000055560,Zfp459,0.05805875449595209,1.8088158987526644,4.620066613292992e-06,0.01033873532491645,-2.1476670800870847,2.186789871222218e-05,0.02671495914228118,-0.47106762308827843,0.5786580969380174
ENSMUSG00000069206,Zfp874a,0.24371174852370586,0.40105002298369685,0.17899451859541543,0.19126660351095431,-0.22990736727974337,0.7168048190187187,0.17173902305752187,-0.3656477591035294,0.481233368508115
ENSMUSG00000059839,Zfp874b,0.24843746109895778,0.4873570492884953,0.08615406935381321,0.17575850052357964,-0.3859030843469258,0.4120732051089427,0.17937186852674508,-0.2823312309312267,0.6235692853929151
ENSMUSG00000114788,Gm48899,0.0006751017964645591,-0.5752339080424953,1.0,0.0,-0.9488872159725883,0.897674450772864,0.003816422734611597,2.8069171242114876,0.2500094811961419
ENSMUSG00000071291,Zfp58,0.10666608384140035,0.027990799071388572,1.0,0.1013196061841812,-0.08108182833745703,1.0,0.11067625930373633,0.09897312365829425,0.92078485087364
ENSMUSG00000097333,Zfp87,0.330799880267634,0.42574585093634054,0.13225025500752047,0.2667393713828444,-0.16089761878191444,0.8593051291216365,0.20799503903633204,-0.54550757144376,0.21351841314687856
ENSMUSG00000095432,Zfp748,0.1471721916292739,-0.16385157930484429,0.7006559463413432,0.1726568799261047,0.22426168634401122,0.706236300111176,0.1507486980171581,-0.04857431889038688,1.0
ENSMUSG00000097360,9430065F17Rik,0.06345956886766856,0.7216032058820363,0.06730042266193424,0.034117826572224286,-0.7562421380301911,0.1665166041308684,0.045797072815339165,-0.13418918673494495,0.9805903521171446
ENSMUSG00000058093,Zfp729b,0.18430279043482464,0.33297361603801345,0.3198883638780092,0.14060680041886373,-0.32658856397845826,0.5686253592762857,0.1564733321190755,-0.08248604466818987,1.0
ENSMUSG00000021510,Zfp729a,0.1971297245676513,0.31574219820264915,0.4181610490781794,0.14681004161381359,-0.38520563533860797,0.5245141851583235,0.17937186852674508,0.026938641085187953,1.0
ENSMUSG00000048280,Zfp738,0.2430366467272413,0.10044215642948728,0.8329776410940933,0.2181473153557371,-0.15170409897227444,0.8828684987900856,0.24234284364783643,0.06208328671194163,0.9534533356174394
ENSMUSG00000071281,Zfp65,0.18227748504543098,0.1730143967579374,0.6899957335433313,0.16955525932862978,-0.025508497575499778,1.0,0.1469322752825465,-0.2575147483835112,0.6782793062269622
ENSMUSG00000058331,Zfp85,0.09721465869089652,0.48919796455250264,0.1769591667055262,0.0713372737419235,-0.303419976291877,0.6870859899057957,0.06487918648839715,-0.39022934596584946,0.5451271559872758
ENSMUSG00000090659,Zfp493,0.04725712575251914,-0.0884518012602431,0.9366963110689326,0.04652430896212403,-0.08353674266736899,1.0,0.05724634101917396,0.31816993874963373,0.6644606451838684
ENSMUSG00000097276,4930525G20Rik,0.020928155690401334,0.687800497791299,0.2834931084302151,0.013440355922391385,-0.3894598073585689,0.7792485622513801,0.011449268203834791,-0.4625435507817395,0.7241705683230536
ENSMUSG00000030446,Zfp273,0.11544240719543962,0.39159922802230485,0.27094656977840126,0.0920147443917564,-0.19850110604405957,0.845547861093111,0.08014487742684355,-0.379686618377455,0.5150880967790596
ENSMUSG00000058246,Gm10037,0.13502035929291184,0.234515529155491,0.552723427379506,0.1354374327564055,0.1826175671559045,0.8244422615996779,0.07632845469223194,-0.7955328032385101,0.09655628450462744
ENSMUSG00000113050,Gm8016,0.0013502035929291183,0.5946910933998169,0.8060341897309566,0.001033873532491645,0.46615028330625563,1.0,0.0,0.22195462349033157,1.0
ENSMUSG00000034617,Mtrr,0.2248088982226982,0.3219705225960885,0.3144875207020437,0.1788601211210546,-0.2507775576234046,0.6870859899057957,0.18128007989405087,-0.1789248127918528,0.815736927952216
ENSMUSG00000021532,Fastkd3,0.25586358086006794,0.21326198676379282,0.5491106558086989,0.24709577426550317,0.08148643307093151,0.9599618093451915,0.17173902305752187,-0.5440463355252374,0.229651544209922
ENSMUSG00000021534,1700001L19Rik,0.7831180838988886,0.4293296170997477,0.09652510845828147,0.7092372432892685,0.08511011664532919,0.9374760077538558,0.3453862574823496,-1.1212188872934106,0.0016682970920110234
ENSMUSG00000021536,Adcy2,2.212983688810825,1.0332380559160785,1.534835978867277e-06,1.065923611998886,-0.8520450927047762,0.0010383785043170315,1.108670804404669,-0.6666421875778454,0.07310263978687531
ENSMUSG00000113121,Gm35161,0.052657940124235615,2.4066187452472443,4.437514865979804e-08,0.00413549412996658,-3.1026925520516224,2.70736076394915e-07,0.019082113673057986,-0.6936531892192965,0.363038800216532
ENSMUSG00000034575,Papd7,0.5684357126231588,0.3454131211466904,0.21497192282247185,0.49522542206349796,-0.05182523773217729,1.0,0.35874373705349016,-0.5843094137962879,0.14741285685517846
ENSMUSG00000021595,Nsun2,1.298895856397812,0.23299563971081932,0.4375842892127679,1.2385804919249908,0.06501692933596376,0.9801785292811951,0.8586951152876094,-0.5697786072748612,0.13955042016204802
