Feature,Normalized.Dispersion
ENSMUSG00000003135,-1.0229752220548036
ENSMUSG00000048234,-1.0718332250741183
ENSMUSG00000050967,2.076436536673769
ENSMUSG00000097083,1.0863578136079686
ENSMUSG00000057173,0.19221138123893827
ENSMUSG00000091937,1.8883814505687997
ENSMUSG00000101634,1.9970012889233517
ENSMUSG00000026074,7.749621292794496
ENSMUSG00000026073,1.9633813748800923
ENSMUSG00000097899,1.550449354179538
ENSMUSG00000026072,4.3700192653945855
ENSMUSG00000070942,-1.3593459929460807
ENSMUSG00000026069,-1.6810314375085014
ENSMUSG00000026070,nan
ENSMUSG00000026068,-0.013550557386391672
ENSMUSG00000026065,0.4427086722765788
ENSMUSG00000026062,1.000054925601894
ENSMUSG00000103270,-0.1322991056521186
ENSMUSG00000041945,-0.41369668341586346
ENSMUSG00000079588,6.515172718314108
ENSMUSG00000104072,nan
ENSMUSG00000100832,1.8962611766318311
ENSMUSG00000053640,nan
ENSMUSG00000101299,0.5681050375833725
ENSMUSG00000100180,nan
ENSMUSG00000060424,5.806071699967927
ENSMUSG00000045515,3.222171044089836
ENSMUSG00000099784,-0.047149878874559334
ENSMUSG00000060679,8.729357825023342
ENSMUSG00000041907,-0.35378431189876003
ENSMUSG00000070939,-0.03568502519819655
ENSMUSG00000100269,4.290822669006506
ENSMUSG00000041878,-0.8566059789687511
ENSMUSG00000010290,0.1401179489351457
ENSMUSG00000008136,4.332270023600827
ENSMUSG00000066877,-0.4138269835356847
ENSMUSG00000026051,229.37726657484075
ENSMUSG00000100764,-2.411728723201764
ENSMUSG00000100635,-0.03803826809871184
ENSMUSG00000100480,1.9507942999690362
ENSMUSG00000057363,-1.5626455464685058
ENSMUSG00000041763,-1.2886145203582182
ENSMUSG00000047343,-3.975303323000397
ENSMUSG00000091844,nan
ENSMUSG00000026049,-1.5624290056333825
ENSMUSG00000026047,-0.30305247850366407
ENSMUSG00000041684,-0.8354071462394139
ENSMUSG00000026048,-0.4294435753331136
ENSMUSG00000046828,-0.05105860393029755
ENSMUSG00000056870,-0.09133639713398525
ENSMUSG00000026043,41.56544774338105
ENSMUSG00000026042,3.559267793235906
ENSMUSG00000025995,-0.5176388017616979
ENSMUSG00000025993,0.8033032666767045
ENSMUSG00000041144,-1.1253169200322932
ENSMUSG00000101337,-1.6298135696296137
ENSMUSG00000025986,6.0515203444293375
ENSMUSG00000100213,-1.3075829135079415
ENSMUSG00000100816,nan
ENSMUSG00000026109,9.759447029544585
ENSMUSG00000100671,1.665141083009089
ENSMUSG00000099625,2.0073023880772967
ENSMUSG00000101799,0.3256755243932214
ENSMUSG00000045954,3.0086336026071945
ENSMUSG00000026107,-1.1646510445283333
ENSMUSG00000099413,nan
ENSMUSG00000101741,nan
ENSMUSG00000018417,1.3542556545431106
ENSMUSG00000062939,-0.25238418687016356
ENSMUSG00000109599,1.4967676519798137
ENSMUSG00000026104,1.3690119135124539
ENSMUSG00000026103,1.9095029290014083
ENSMUSG00000002881,1.863247484183961
ENSMUSG00000100120,nan
ENSMUSG00000043015,0.9701962320925929
ENSMUSG00000041439,0.07933259258927103
ENSMUSG00000026102,0.6517347379648694
ENSMUSG00000041426,0.5831240891176069
ENSMUSG00000043629,-0.06423068241802694
ENSMUSG00000026100,-2.581218883569731
ENSMUSG00000060715,nan
ENSMUSG00000026098,-0.8587479535750336
ENSMUSG00000100763,nan
ENSMUSG00000026097,-0.0487025268767126
ENSMUSG00000026096,-0.3445859538051825
ENSMUSG00000099913,-0.9749373069188789
ENSMUSG00000026095,-1.231938032085896
ENSMUSG00000096141,-1.7380035604409452
ENSMUSG00000026094,0.6710802042360484
ENSMUSG00000042807,0.3520831404513695
ENSMUSG00000025983,6.8165892233422785
ENSMUSG00000041303,-0.9919007803761618
ENSMUSG00000073678,-0.1911063932958076
ENSMUSG00000052331,1.6912994787910194
ENSMUSG00000025982,-0.8381017154556922
ENSMUSG00000025981,-1.1464942047255182
ENSMUSG00000025980,-1.2557789550726521
ENSMUSG00000073676,-0.5422878720393386
ENSMUSG00000025979,1.168630980029926
ENSMUSG00000025978,3.246018763403192
ENSMUSG00000097649,2.4948000427967973
